female,memberships,age,protestant,post_weights,region
1,1,0.2,0,0.7062856,322
0,6,2.5,0,0.65757006,322
1,0,1,0,0.7062856,322
1,5,1.4,0,0.8581172,322
1,1,-0.6,0,1.2896832,321
0,0,-1.5,0,0.68817973,321
1,1,0.9,0,1.0593923,321
1,1,-0.5,0,0.8581172,321
0,1,-0.3,0,1.4183729,322
0,0,1,0,2.8367457,322
1,0,1.3,0,0.7062856,322
1,1,1.5,0,1.0589412,322
1,2,-0.1,0,0.7062856,321
0,4,-0.6,0,0.77444667,321
1,1,2.1,0,0.5294166,321
1,1,0.1,0,1.1062783,321
1,0,-0.4,0,1.1062783,321
1,0,-0.1,0,0.8581172,321
1,0,0.8,0,1.287132,321
0,0,2.4,0,0.84954196,321
1,1,2.1,0,1.0589412,321
0,4,2.1,0,0.8166704,321
0,2,1.6,0,1.6335075,321
1,1,1.1,0,1.0593923,321
1,0,0.5,0,0.35310677,321
0,3,1.7,0,1.2742696,321
1,1,1.4,0,1.659361,321
0,5,0.9,0,0.64666176,321
0,1,-0.6,0,0.68817973,321
1,7,2.2,0,0.5294166,321
1,0,2.2,0,1.0589412,321
0,1,1.8,0,1.6335075,321
1,1,1.8,0,1.5883578,321
1,0,-0.8,0,1.2896832,321
1,2,0.3,0,0.5530827,322
0,1,1.7,0,0.65757006,322
0,0,-0.2,0,1.4183729,322
0,0,-0.2,0,1.4183729,322
0,0,0.5,,1.4599999,322
1,0,1.7,0,0.5294166,322
1,0,2.2,0,1.0589412,322
1,2,-0.4,0,1.1062783,322
0,1,2.4,0,0.84954196,322
1,1,-1,0,1.1534517,322
0,1,1,0,2.8367457,322
1,1,0,0,1.287132,322
0,1,1,0,0.4866335,322
1,1,0,0,0.8581172,322
0,4,2.1,1,0.65757006,322
0,8,2.4,1,0.65757006,322
1,0,2.4,0,0.7246766,322
1,4,0.2,1,0.8581172,322
0,1,0.6,0,0.7091141,322
0,2,2.1,0,1.6335075,322
1,1,1.4,1,0.4290148,323
1,4,0.2,0,0.7062856,323
0,0,0.1,0,0.9733664,323
1,1,0,0,0.8581172,323
1,2,1.3,1,1.0593923,323
1,4,-1.5,0,1.2896832,322
1,0,1.5,0,1.0589412,323
1,1,1.1,0,0.5530827,323
0,0,1.7,0,0.84954196,323
0,1,0,0,0.7091141,323
1,0,-0.6,0,1.1534517,323
1,0,0.5,0,0.8581172,323
1,5,2.5,,1.0039442,323
1,1,-1,0,1.1534517,323
1,0,0.4,0,1.287132,323
1,0,1.5,0,1.0589412,323
1,2,-0.1,0,1.1062783,323
1,1,-0.7,0,1.1534517,323
1,2,-0.4,0,1.1062783,323
1,0,1.7,0,0.5294166,324
0,4,-1.3,0,2.3234982,324
0,0,-0.6,0,0.71287006,324
1,1,1.6,0,0.5019209,324
0,0,0.1,0,1.4183729,324
1,0,1,0,2.2125566,324
1,2,1.4,0,1.1062783,324
1,3,0.5,0,1.659361,324
0,1,0.2,0,0.9733664,324
1,3,-1.3,0,1.1804466,324
1,2,0.4,0,0.4290148,324
1,0,1.4,0,0.4290148,324
0,2,1.9,0,2.1238115,324
1,2,-0.7,0,1.1804466,324
1,1,-0.3,0,0.8581172,324
1,1,2.1,0,1.0589412,324
0,2,1.9,0,0.65757006,324
1,3,1.1,0,1.1062783,324
1,0,0.6,0,0.7062856,324
0,1,1.7,1,0.84954196,323
0,1,1,0,3.5458598,324
1,1,0.5,0,0.8581172,324
1,1,-0.2,0,0.8581172,324
0,0,1.5,0,0.84954196,326
1,2,0.5,0,2.2125566,326
1,3,-0.3,0,0.8581172,326
0,0,0.5,0,0.4866335,326
